row_no,logline,parsed_logline,parameter_list,month,day,time,host,process_name,process_subtype,process_pid,remote_host,user_value,tty,tt,anomaly_label,anomaly_score,is_anomaly
1,Jun 14 15:16:01 combo sshd(pam_unix)[19939]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,* * * combo * authentication failure; logname= uid=0 euid=0 * ruser= *,"['Jun', '14', '15:16:01', 'sshd(pam_unix)[19939]:', 'tty=NODEVssh', 'rhost=218.188.2.4']",Jun,14,15:16:01,combo,sshd,pam_unix,19939,218.188.2.4,,NODEVssh,NODEVssh,1,-7.404184535537176,False
2,Jun 14 15:16:02 combo sshd(pam_unix)[19937]: check pass; user unknown,* * * combo * check pass; user unknown,"['Jun', '14', '15:16:02', 'sshd(pam_unix)[19937]:']",Jun,14,15:16:02,combo,sshd,pam_unix,19937,,,,,1,-6.875238955230358,False
3,Jun 14 15:16:02 combo sshd(pam_unix)[19937]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,* * * combo * authentication failure; logname= uid=0 euid=0 * ruser= *,"['Jun', '14', '15:16:02', 'sshd(pam_unix)[19937]:', 'tty=NODEVssh', 'rhost=218.188.2.4']",Jun,14,15:16:02,combo,sshd,pam_unix,19937,218.188.2.4,,NODEVssh,NODEVssh,1,-7.404440448557011,False
4,Jun 15 02:04:59 combo sshd(pam_unix)[20882]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,* * * combo * authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= * *,"['Jun', '15', '02:04:59', 'sshd(pam_unix)[20882]:', 'rhost=220-135-151-1.hinet-ip.hinet.net', 'user=root']",Jun,15,02:04:59,combo,sshd,pam_unix,20882,220-135-151-1.hinet-ip.hinet.net,root,NODEVssh,NODEVssh,1,-2.6614531722904857,False
5,Jun 15 02:04:59 combo sshd(pam_unix)[20884]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,* * * combo * authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= * *,"['Jun', '15', '02:04:59', 'sshd(pam_unix)[20884]:', 'rhost=220-135-151-1.hinet-ip.hinet.net', 'user=root']",Jun,15,02:04:59,combo,sshd,pam_unix,20884,220-135-151-1.hinet-ip.hinet.net,root,NODEVssh,NODEVssh,1,-2.661030877722496,False
6,Jun 15 02:04:59 combo sshd(pam_unix)[20883]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,* * * combo * authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= * *,"['Jun', '15', '02:04:59', 'sshd(pam_unix)[20883]:', 'rhost=220-135-151-1.hinet-ip.hinet.net', 'user=root']",Jun,15,02:04:59,combo,sshd,pam_unix,20883,220-135-151-1.hinet-ip.hinet.net,root,NODEVssh,NODEVssh,1,-2.66124205299419,False
7,Jun 15 02:04:59 combo sshd(pam_unix)[20885]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,* * * combo * authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= * *,"['Jun', '15', '02:04:59', 'sshd(pam_unix)[20885]:', 'rhost=220-135-151-1.hinet-ip.hinet.net', 'user=root']",Jun,15,02:04:59,combo,sshd,pam_unix,20885,220-135-151-1.hinet-ip.hinet.net,root,NODEVssh,NODEVssh,1,-2.6608196464761207,False
8,Jun 15 02:04:59 combo sshd(pam_unix)[20886]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,* * * combo * authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= * *,"['Jun', '15', '02:04:59', 'sshd(pam_unix)[20886]:', 'rhost=220-135-151-1.hinet-ip.hinet.net', 'user=root']",Jun,15,02:04:59,combo,sshd,pam_unix,20886,220-135-151-1.hinet-ip.hinet.net,root,NODEVssh,NODEVssh,1,-2.660608359255818,False
9,Jun 15 02:04:59 combo sshd(pam_unix)[20892]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,* * * combo * authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= * *,"['Jun', '15', '02:04:59', 'sshd(pam_unix)[20892]:', 'rhost=220-135-151-1.hinet-ip.hinet.net', 'user=root']",Jun,15,02:04:59,combo,sshd,pam_unix,20892,220-135-151-1.hinet-ip.hinet.net,root,NODEVssh,NODEVssh,1,-2.659339460524208,False
10,Jun 15 02:04:59 combo sshd(pam_unix)[20893]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,* * * combo * authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= * *,"['Jun', '15', '02:04:59', 'sshd(pam_unix)[20893]:', 'rhost=220-135-151-1.hinet-ip.hinet.net', 'user=root']",Jun,15,02:04:59,combo,sshd,pam_unix,20893,220-135-151-1.hinet-ip.hinet.net,root,NODEVssh,NODEVssh,1,-2.6591277815077845,False
11,Jun 15 02:04:59 combo sshd(pam_unix)[20896]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,* * * combo * authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= * *,"['Jun', '15', '02:04:59', 'sshd(pam_unix)[20896]:', 'rhost=220-135-151-1.hinet-ip.hinet.net', 'user=root']",Jun,15,02:04:59,combo,sshd,pam_unix,20896,220-135-151-1.hinet-ip.hinet.net,root,NODEVssh,NODEVssh,1,-2.6584924086544746,False
12,Jun 15 02:04:59 combo sshd(pam_unix)[20897]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,* * * combo * authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= * *,"['Jun', '15', '02:04:59', 'sshd(pam_unix)[20897]:', 'rhost=220-135-151-1.hinet-ip.hinet.net', 'user=root']",Jun,15,02:04:59,combo,sshd,pam_unix,20897,220-135-151-1.hinet-ip.hinet.net,root,NODEVssh,NODEVssh,1,-2.658280505771309,False
13,Jun 15 02:04:59 combo sshd(pam_unix)[20898]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,* * * combo * authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= * *,"['Jun', '15', '02:04:59', 'sshd(pam_unix)[20898]:', 'rhost=220-135-151-1.hinet-ip.hinet.net', 'user=root']",Jun,15,02:04:59,combo,sshd,pam_unix,20898,220-135-151-1.hinet-ip.hinet.net,root,NODEVssh,NODEVssh,1,-2.658068546923346,False
14,Jun 15 04:06:18 combo su(pam_unix)[21416]: session opened for user cyrus by (uid=0),* * * combo * session opened for user * by *,"['Jun', '15', '04:06:18', 'su(pam_unix)[21416]:', 'cyrus', '(uid=0)']",Jun,15,04:06:18,combo,su,pam_unix,21416,,,,,1,-7.347949820240402,False
15,Jun 15 04:06:19 combo su(pam_unix)[21416]: session closed for user cyrus,* * * combo * session closed for user *,"['Jun', '15', '04:06:19', 'su(pam_unix)[21416]:', 'cyrus']",Jun,15,04:06:19,combo,su,pam_unix,21416,,,,,1,-6.0852965825282865,False
16,Jun 15 04:06:20 combo logrotate: ALERT exited abnormally with [1],* * * combo logrotate: ALERT exited abnormally with [1],"['Jun', '15', '04:06:20']",Jun,15,04:06:20,combo,logrotate,,,,,,,1,-3.3746280634815733,False
17,Jun 15 04:12:42 combo su(pam_unix)[22644]: session opened for user news by (uid=0),* * * combo * session opened for user * by *,"['Jun', '15', '04:12:42', 'su(pam_unix)[22644]:', 'news', '(uid=0)']",Jun,15,04:12:42,combo,su,pam_unix,22644,,,,,1,-6.852988190983744,False
18,Jun 15 04:12:43 combo su(pam_unix)[22644]: session closed for user news,* * * combo * session closed for user *,"['Jun', '15', '04:12:43', 'su(pam_unix)[22644]:', 'news']",Jun,15,04:12:43,combo,su,pam_unix,22644,,,,,1,-5.496278865387062,False
